[2024-10-03 22:45:51,205: INFO: main: welcome to electorals and sysmbols detection project]
[2024-11-09 13:06:42,896: INFO: main: welcome to electorals and sysmbols detection project]
[2024-11-10 12:44:58,637: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 12:44:58,641: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 12:45:29,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 12:45:29,766: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 12:45:32,644: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 12:45:32,646: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 12:50:47,445: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 12:50:47,446: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 12:53:24,657: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 12:53:24,659: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 12:53:24,660: INFO: common: created directory at: artifacts]
[2024-11-10 12:53:24,665: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-10 12:53:24,666: INFO: 797920417: Downloading data from https://drive.google.com/file/d/1-6haawpnaPTHxclM7WSrxhiO-Vwx2hRG/view?usp=drive_link into file artifacts/data_ingestion/test_data_set.zip]
[2024-11-10 12:53:38,023: INFO: 797920417: Downloaded data from https://drive.google.com/file/d/1-6haawpnaPTHxclM7WSrxhiO-Vwx2hRG/view?usp=drive_link into file artifacts/data_ingestion/test_data_set.zip]
[2024-11-10 13:00:59,899: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 13:00:59,901: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 13:00:59,902: INFO: common: created directory at: artifacts]
[2024-11-10 13:00:59,903: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-10 13:00:59,903: INFO: 1728023487: Downloading data from https://drive.google.com/file/d/1-6haawpnaPTHxclM7WSrxhiO-Vwx2hRG/view?usp=drive_link into file artifacts/data_ingestion/test_data_set.zip]
[2024-11-10 18:36:02,663: INFO: main: >>>>>>> Stage Data Ingestion Stage started <<<<<<<]
[2024-11-10 18:36:02,664: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 18:36:02,666: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 18:36:02,667: INFO: common: created directory at: artifacts]
[2024-11-10 18:36:02,667: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-10 18:36:02,669: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-6haawpnaPTHxclM7WSrxhiO-Vwx2hRG/view?usp=drive_link into file artifacts/data_ingestion/test_data_set.zip]
[2024-11-10 18:36:16,728: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1-6haawpnaPTHxclM7WSrxhiO-Vwx2hRG/view?usp=drive_link into file artifacts/data_ingestion/test_data_set.zip]
[2024-11-10 18:36:19,727: INFO: main: >>>>>>> Stage Data Ingestion Stage completed <<<<<<<

x==================x]
[2024-11-13 02:48:52,067: INFO: main: >>>>>>> Stage Data Ingestion Stage started <<<<<<<]
[2024-11-13 02:48:52,067: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-13 02:48:52,081: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-13 02:48:52,082: INFO: common: created directory at: artifacts]
[2024-11-13 02:48:52,082: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-13 02:48:52,082: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1-6haawpnaPTHxclM7WSrxhiO-Vwx2hRG/view?usp=drive_link into file artifacts/data_ingestion/test_data_set.zip]
[2024-11-13 02:49:05,256: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1-6haawpnaPTHxclM7WSrxhiO-Vwx2hRG/view?usp=drive_link into file artifacts/data_ingestion/test_data_set.zip]
[2024-11-13 02:49:06,159: INFO: main: >>>>>>> Stage Data Ingestion Stage completed <<<<<<<
x==================x]
[2024-11-16 14:39:39,095: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 14:39:39,111: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 14:39:39,113: INFO: common: created directory at: artifacts]
[2024-11-16 14:41:27,380: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-16 14:41:27,381: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-16 14:41:27,382: INFO: common: created directory at: artifacts]
